repo_id,author,downloads,likes,last_modified,created_at,description,so101_mentioned,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,num_episodes,codebase_version,robot_type,video_files_size_in_mb,data_files_size_in_mb,author_has_eval
mi-kicic/so101_ds2,mi-kicic,61,0,2026-02-10T15:45:19+00:00,2026-02-09T14:19:17+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 28457, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
Ryan-ZL-LIN/phase1-subtask-blue-0210-2,Ryan-ZL-LIN,32,0,2026-02-10T15:07:04+00:00,2026-02-10T15:06:45+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 24, ""total_frames"": 18489, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 500, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,24,v3.0,so101_follower,500.0,100.0,False
CursedRock17/so101_block_onecam,CursedRock17,27,0,2026-02-10T14:24:48+00:00,2026-02-10T14:24:47+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 25, ""total_frames"": 7384, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,False,0,0,0,pick_and_place,0,0,25,v3.0,so101_follower,200.0,100.0,False
Ryan-ZL-LIN/phase1-subtask-blue-0210,Ryan-ZL-LIN,26,0,2026-02-10T14:24:36+00:00,2026-02-10T14:24:14+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 36, ""total_frames"": 27275, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 500, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,36,v3.0,so101_follower,500.0,100.0,False
CursedRock17/so101_arms_usmsm,CursedRock17,146,0,2026-02-10T13:38:49+00:00,2025-11-07T16:38:11+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 50, ""total_frames"": 22421, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,50,v3.0,so101_follower,200.0,100.0,False
doldolee/pick_and_place_cleaning_cloth_0210,doldolee,36,0,2026-02-10T10:20:21+00:00,2026-02-10T10:19:51+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 40, ""total_frames"": 21138, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,2,0,1,pick_and_place,2,3,40,v3.0,so101_follower,200.0,100.0,True
andolab-okajima/blocktask_ver.2.3,andolab-okajima,33,0,2026-02-10T09:58:17+00:00,2026-02-10T09:57:52+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 20, ""total_frames"": 22038, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,20,v3.0,so101_follower,200.0,100.0,False
primordial-spork/grocery-test,primordial-spork,42,0,2026-02-10T09:24:51+00:00,2026-02-10T07:01:36+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 26, ""total_frames"": 31620, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,26,v3.0,so_follower,200.0,100.0,False
bluephysi01/e0509_01,bluephysi01,45,0,2026-02-10T09:04:36+00:00,2026-02-10T06:35:46+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 40, ""total_frames"": 17101, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 500, ""fps"": 5, ""splits"":",True,False,0,0,0,pick_and_place,0,0,40,v3.0,so101_follower,500.0,100.0,False
eorikun/extendandretract,eorikun,58,0,2026-02-10T09:01:40+00:00,2026-02-10T07:51:03+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 30, ""total_frames"": 9109, ""total_tasks"": 6, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,30,v3.0,so_follower,200.0,100.0,False
