repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
Gukchan/pickandplace_v30,Gukchan,4,0,2026-01-08T04:50:18+00:00,2026-01-08T04:43:40+00:00,False,2,0,0,pick_and_place,2,2,v3.0,so101_follower,50,20647,1,,,1000,30,100,200
Gukchan/pickandplace_cube_v3,Gukchan,6,0,2026-01-07T08:30:39+00:00,2026-01-07T07:40:47+00:00,False,3,0,0,pick_and_place,3,3,v3.0,so101_follower,50,28064,1,,,1000,30,100,200
Gukchan/record-test,Gukchan,7,0,2026-01-02T07:27:51+00:00,2026-01-02T06:03:13+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,11511,1,,,1000,30,100,200
HenryZhang/RFM_sup_succ_offlineRL_merged_filtered,HenryZhang,117,0,2026-02-05T04:54:21+00:00,2026-02-05T01:35:30+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,75,10700,3,,,1000,15,100,500
HenryZhang/rfm_sub_3_task_succ_filtered,HenryZhang,48,0,2026-02-05T04:53:12+00:00,2026-02-04T21:00:48+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,60,8078,3,,,1000,15,100,500
HenryZhang/RFM_offlineRL_5_succ_filtered,HenryZhang,60,0,2026-02-05T04:52:47+00:00,2026-02-04T21:00:43+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,15,2622,3,,,1000,15,100,500
HenryZhang/RFM_sup_fail_offlineRL_merged_filtered,HenryZhang,30,0,2026-02-05T03:00:10+00:00,2026-02-04T20:58:15+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,120,34919,3,,,1000,15,100,500
HenryZhang/RFM_sup_succ_offlineRL_merged_filtered_new,HenryZhang,13,0,2026-02-05T01:42:56+00:00,2026-02-05T01:42:55+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,75,10700,3,,,1000,15,100,500
HenryZhang/rfm_sub_3_task_fail1770173650.146896,HenryZhang,25,0,2026-02-04T03:29:11+00:00,2026-02-04T03:29:07+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,45,13500,3,,,1000,15,100,500
HenryZhang/rfm_sub_3_task_succ,HenryZhang,56,0,2026-02-04T02:37:07+00:00,2026-02-04T02:37:03+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,60,8078,3,,,1000,15,100,500
HenryZhang/RFM_offlineRL_1_succ_30task,HenryZhang,14,0,2026-01-28T22:44:37+00:00,2026-01-28T22:44:33+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,30,3387,1,,,1000,15,100,500
HenryZhang/RFM_offlineRL_1_succ_2nd,HenryZhang,15,0,2026-01-27T21:48:49+00:00,2026-01-27T21:48:44+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,1442,1,,,1000,15,100,500
HenryZhang/RFM_offlineRL_5_fail251769202398.886546,HenryZhang,49,0,2026-01-23T22:47:16+00:00,2026-01-23T22:47:12+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,125,35191,5,,,1000,15,100,500
HenryZhang/RFM_offlineRL_5_succ1769207567.8997138,HenryZhang,48,0,2026-01-23T22:46:05+00:00,2026-01-23T22:46:01+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,25,4288,5,,,1000,15,100,500
HenryZhang/RFM_offlineRL_1_fail251769202398.886546,HenryZhang,27,0,2026-01-23T22:31:27+00:00,2026-01-23T22:31:17+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,125,35191,5,,,1000,15,100,500
HenryZhang/RFM_offlineRL_1_fail1769194818.5427046,HenryZhang,38,0,2026-01-23T19:45:01+00:00,2026-01-23T19:44:57+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,45,11482,1,,,1000,15,100,500
HenryZhang/rfm_5_demos1768605063.996896,HenryZhang,27,0,2026-01-16T23:44:09+00:00,2026-01-16T23:44:05+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,8501,10,,,1000,15,100,500
HenryZhang/RFM_1_demo_close_succ,HenryZhang,14,0,2025-12-23T01:00:38+00:00,2025-12-23T01:00:30+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,1675,10,,,1000,15,100,500
HenryZhang/RFM_1_demo_failure,HenryZhang,14,0,2025-12-23T00:32:20+00:00,2025-12-23T00:32:09+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,3000,10,,,1000,15,100,500
